HBA_SMILES,HBD_SMILES,Other_SMILES,ratio_HBA_to_HBD,ratio_Other_to_HBD,property_value,property_type,property_unity,Temperature_C
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,6.74,conductivity,mS/cm,-23.4
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,10.05,conductivity,mS/cm,-10.5
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,13.51,conductivity,mS/cm,0.6
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,25.31,conductivity,mS/cm,33.4
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,25.29,conductivity,mS/cm,33.5
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,36.46,conductivity,mS/cm,59.1
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,3.21,electrochemical_window,V,31.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,37.1,viscosity,cp,9.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,35.73,viscosity,cp,10.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,28.63,viscosity,cp,15
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,20.63,viscosity,cp,25
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,14.47,viscosity,cp,35
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,5.67,viscosity,cp,50
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.675,conductivity,mS/cm,-18.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,2.557,conductivity,mS/cm,-8.6
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,2.648,conductivity,mS/cm,-8.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,4.138,conductivity,mS/cm,-0.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,6.579,conductivity,mS/cm,10.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,6.646,conductivity,mS/cm,10.2
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,6.668,conductivity,mS/cm,10.3
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,6.685,conductivity,mS/cm,10.4
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,12.138,conductivity,mS/cm,28
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,17.839,conductivity,mS/cm,39.8
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,18.002,conductivity,mS/cm,39.9
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,18.096,conductivity,mS/cm,40
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,22.016,conductivity,mS/cm,47.7
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,29.763,conductivity,mS/cm,59.6
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,29.944,conductivity,mS/cm,59.9
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,30.138,conductivity,mS/cm,60.1
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0813,density,g/cc,13
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0802,density,g/cc,14.7
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.079,density,g/cc,17.4
C[N+](C)(C)C.[Cl-],C(CO)O,O,0.04,0.03,1.0756,density,g/cc,28.1
